id_code	title	parent_code	parent	depth	synonym	definition	id	browserURL	code_mms	source	classKind	exclusion	icd
341082328	Auriculotemporal nerve	1225723477		9	[]		http://id.who.int/icd/release/11/2025-01/mms/341082328	https://icd.who.int/browse/2025-01/mms/en#341082328	XA5DA8	http://id.who.int/icd/entity/341082328	category		{'@context': 'http://id.who.int/icd/contexts/contextForLinearizationEntity.json', '@id': 'http://id.who.int/icd/release/11/2025-01/mms/341082328', 'parent': ['http://id.who.int/icd/release/11/2025-01/mms/1225723477'], 'browserUrl': 'https://icd.who.int/browse/2025-01/mms/en#341082328', 'code': 'XA5DA8', 'source': 'http://id.who.int/icd/entity/341082328', 'classKind': 'category', 'title': {'@language': 'en', '@value': 'Auriculotemporal nerve'}, 'indexTerm': [{'label': {'@language': 'en', '@value': 'Auriculotemporal nerve'}}]}
1308798239	Buccal nerve	1225723477		9	[]		http://id.who.int/icd/release/11/2025-01/mms/1308798239	https://icd.who.int/browse/2025-01/mms/en#1308798239	XA7UK9	http://id.who.int/icd/entity/1308798239	category		{'@context': 'http://id.who.int/icd/contexts/contextForLinearizationEntity.json', '@id': 'http://id.who.int/icd/release/11/2025-01/mms/1308798239', 'parent': ['http://id.who.int/icd/release/11/2025-01/mms/1225723477'], 'browserUrl': 'https://icd.who.int/browse/2025-01/mms/en#1308798239', 'code': 'XA7UK9', 'source': 'http://id.who.int/icd/entity/1308798239', 'classKind': 'category', 'title': {'@language': 'en', '@value': 'Buccal nerve'}, 'indexTerm': [{'label': {'@language': 'en', '@value': 'Buccal nerve'}}]}
681405051	Deep temporal nerve	1225723477		9	[]		http://id.who.int/icd/release/11/2025-01/mms/681405051	https://icd.who.int/browse/2025-01/mms/en#681405051	XA52H1	http://id.who.int/icd/entity/681405051	category		{'@context': 'http://id.who.int/icd/contexts/contextForLinearizationEntity.json', '@id': 'http://id.who.int/icd/release/11/2025-01/mms/681405051', 'parent': ['http://id.who.int/icd/release/11/2025-01/mms/1225723477'], 'browserUrl': 'https://icd.who.int/browse/2025-01/mms/en#681405051', 'code': 'XA52H1', 'source': 'http://id.who.int/icd/entity/681405051', 'classKind': 'category', 'title': {'@language': 'en', '@value': 'Deep temporal nerve'}, 'indexTerm': [{'label': {'@language': 'en', '@value': 'Deep temporal nerve'}}]}
1171304010	Inferior alveolar nerve	1225723477		9	[]		http://id.who.int/icd/release/11/2025-01/mms/1171304010	https://icd.who.int/browse/2025-01/mms/en#1171304010	XA3VT0	http://id.who.int/icd/entity/1171304010	category		{'@context': 'http://id.who.int/icd/contexts/contextForLinearizationEntity.json', '@id': 'http://id.who.int/icd/release/11/2025-01/mms/1171304010', 'parent': ['http://id.who.int/icd/release/11/2025-01/mms/1225723477'], 'child': ['http://id.who.int/icd/release/11/2025-01/mms/1008141435'], 'browserUrl': 'https://icd.who.int/browse/2025-01/mms/en#1171304010', 'code': 'XA3VT0', 'source': 'http://id.who.int/icd/entity/1171304010', 'classKind': 'category', 'title': {'@language': 'en', '@value': 'Inferior alveolar nerve'}, 'indexTerm': [{'label': {'@language': 'en', '@value': 'Inferior alveolar nerve'}}]}
1008141435	Mylohyoid nerve	1171304010		10	[]		http://id.who.int/icd/release/11/2025-01/mms/1008141435	https://icd.who.int/browse/2025-01/mms/en#1008141435	XA9FV5	http://id.who.int/icd/entity/1008141435	category		{'@context': 'http://id.who.int/icd/contexts/contextForLinearizationEntity.json', '@id': 'http://id.who.int/icd/release/11/2025-01/mms/1008141435', 'parent': ['http://id.who.int/icd/release/11/2025-01/mms/1171304010'], 'browserUrl': 'https://icd.who.int/browse/2025-01/mms/en#1008141435', 'code': 'XA9FV5', 'source': 'http://id.who.int/icd/entity/1008141435', 'classKind': 'category', 'title': {'@language': 'en', '@value': 'Mylohyoid nerve'}, 'indexTerm': [{'label': {'@language': 'en', '@value': 'Mylohyoid nerve'}}]}
1046446234	Lateral pterygoid nerve	1225723477		9	[]		http://id.who.int/icd/release/11/2025-01/mms/1046446234	https://icd.who.int/browse/2025-01/mms/en#1046446234	XA3114	http://id.who.int/icd/entity/1046446234	category		{'@context': 'http://id.who.int/icd/contexts/contextForLinearizationEntity.json', '@id': 'http://id.who.int/icd/release/11/2025-01/mms/1046446234', 'parent': ['http://id.who.int/icd/release/11/2025-01/mms/1225723477'], 'browserUrl': 'https://icd.who.int/browse/2025-01/mms/en#1046446234', 'code': 'XA3114', 'source': 'http://id.who.int/icd/entity/1046446234', 'classKind': 'category', 'title': {'@language': 'en', '@value': 'Lateral pterygoid nerve'}, 'indexTerm': [{'label': {'@language': 'en', '@value': 'Lateral pterygoid nerve'}}]}
104448957	Lingual nerve	1225723477		9	[]		http://id.who.int/icd/release/11/2025-01/mms/104448957	https://icd.who.int/browse/2025-01/mms/en#104448957	XA5CT7	http://id.who.int/icd/entity/104448957	category		{'@context': 'http://id.who.int/icd/contexts/contextForLinearizationEntity.json', '@id': 'http://id.who.int/icd/release/11/2025-01/mms/104448957', 'parent': ['http://id.who.int/icd/release/11/2025-01/mms/1225723477'], 'browserUrl': 'https://icd.who.int/browse/2025-01/mms/en#104448957', 'code': 'XA5CT7', 'source': 'http://id.who.int/icd/entity/104448957', 'classKind': 'category', 'title': {'@language': 'en', '@value': 'Lingual nerve'}, 'indexTerm': [{'label': {'@language': 'en', '@value': 'Lingual nerve'}}]}
1886888725	Masseteric nerve	1225723477		9	[]		http://id.who.int/icd/release/11/2025-01/mms/1886888725	https://icd.who.int/browse/2025-01/mms/en#1886888725	XA5NQ5	http://id.who.int/icd/entity/1886888725	category		{'@context': 'http://id.who.int/icd/contexts/contextForLinearizationEntity.json', '@id': 'http://id.who.int/icd/release/11/2025-01/mms/1886888725', 'parent': ['http://id.who.int/icd/release/11/2025-01/mms/1225723477'], 'browserUrl': 'https://icd.who.int/browse/2025-01/mms/en#1886888725', 'code': 'XA5NQ5', 'source': 'http://id.who.int/icd/entity/1886888725', 'classKind': 'category', 'title': {'@language': 'en', '@value': 'Masseteric nerve'}, 'indexTerm': [{'label': {'@language': 'en', '@value': 'Masseteric nerve'}}]}
553513038	Medial pterygoid nerve	1225723477		9	[]		http://id.who.int/icd/release/11/2025-01/mms/553513038	https://icd.who.int/browse/2025-01/mms/en#553513038	XA1RH8	http://id.who.int/icd/entity/553513038	category		{'@context': 'http://id.who.int/icd/contexts/contextForLinearizationEntity.json', '@id': 'http://id.who.int/icd/release/11/2025-01/mms/553513038', 'parent': ['http://id.who.int/icd/release/11/2025-01/mms/1225723477'], 'browserUrl': 'https://icd.who.int/browse/2025-01/mms/en#553513038', 'code': 'XA1RH8', 'source': 'http://id.who.int/icd/entity/553513038', 'classKind': 'category', 'title': {'@language': 'en', '@value': 'Medial pterygoid nerve'}, 'indexTerm': [{'label': {'@language': 'en', '@value': 'Medial pterygoid nerve'}}]}
2086429518	Mental nerve	1225723477		9	[]		http://id.who.int/icd/release/11/2025-01/mms/2086429518	https://icd.who.int/browse/2025-01/mms/en#2086429518	XA6ZD8	http://id.who.int/icd/entity/2086429518	category		{'@context': 'http://id.who.int/icd/contexts/contextForLinearizationEntity.json', '@id': 'http://id.who.int/icd/release/11/2025-01/mms/2086429518', 'parent': ['http://id.who.int/icd/release/11/2025-01/mms/1225723477'], 'browserUrl': 'https://icd.who.int/browse/2025-01/mms/en#2086429518', 'code': 'XA6ZD8', 'source': 'http://id.who.int/icd/entity/2086429518', 'classKind': 'category', 'title': {'@language': 'en', '@value': 'Mental nerve'}, 'indexTerm': [{'label': {'@language': 'en', '@value': 'Mental nerve'}}]}
1949067993	Abducens nerve	2108063439		7	[]		http://id.who.int/icd/release/11/2025-01/mms/1949067993	https://icd.who.int/browse/2025-01/mms/en#1949067993	XA4GX3	http://id.who.int/icd/entity/1949067993	category		{'@context': 'http://id.who.int/icd/contexts/contextForLinearizationEntity.json', '@id': 'http://id.who.int/icd/release/11/2025-01/mms/1949067993', 'parent': ['http://id.who.int/icd/release/11/2025-01/mms/2108063439'], 'browserUrl': 'https://icd.who.int/browse/2025-01/mms/en#1949067993', 'code': 'XA4GX3', 'source': 'http://id.who.int/icd/entity/1949067993', 'classKind': 'category', 'title': {'@language': 'en', '@value': 'Abducens nerve'}, 'indexTerm': [{'label': {'@language': 'en', '@value': 'Abducens nerve'}}, {'label': {'@language': 'en', '@value': 'Sixth Cranial Nerve'}}]}
848343847	Facial nerve	2108063439		7	[]		http://id.who.int/icd/release/11/2025-01/mms/848343847	https://icd.who.int/browse/2025-01/mms/en#848343847	XA64Y7	http://id.who.int/icd/entity/848343847	category		{'@context': 'http://id.who.int/icd/contexts/contextForLinearizationEntity.json', '@id': 'http://id.who.int/icd/release/11/2025-01/mms/848343847', 'parent': ['http://id.who.int/icd/release/11/2025-01/mms/2108063439'], 'child': ['http://id.who.int/icd/release/11/2025-01/mms/1626693707', 'http://id.who.int/icd/release/11/2025-01/mms/115159129', 'http://id.who.int/icd/release/11/2025-01/mms/680393177', 'http://id.who.int/icd/release/11/2025-01/mms/1661210137', 'http://id.who.int/icd/release/11/2025-01/mms/1067818265', 'http://id.who.int/icd/release/11/2025-01/mms/1518117721', 'http://id.who.int/icd/release/11/2025-01/mms/161520262', 'http://id.who.int/icd/release/11/2025-01/mms/1506687547'], 'browserUrl': 'https://icd.who.int/browse/2025-01/mms/en#848343847', 'code': 'XA64Y7', 'source': 'http://id.who.int/icd/entity/848343847', 'classKind': 'category', 'title': {'@language': 'en', '@value': 'Facial nerve'}, 'indexTerm': [{'label': {'@language': 'en', '@value': 'Facial nerve'}}, {'label': {'@language': 'en', '@value': 'Seventh Cranial Nerve'}}]}
1626693707	Posterior auricular nerve	848343847		8	[]		http://id.who.int/icd/release/11/2025-01/mms/1626693707	https://icd.who.int/browse/2025-01/mms/en#1626693707	XA7F87	http://id.who.int/icd/entity/1626693707	category		{'@context': 'http://id.who.int/icd/contexts/contextForLinearizationEntity.json', '@id': 'http://id.who.int/icd/release/11/2025-01/mms/1626693707', 'parent': ['http://id.who.int/icd/release/11/2025-01/mms/848343847'], 'browserUrl': 'https://icd.who.int/browse/2025-01/mms/en#1626693707', 'code': 'XA7F87', 'source': 'http://id.who.int/icd/entity/1626693707', 'classKind': 'category', 'title': {'@language': 'en', '@value': 'Posterior auricular nerve'}, 'indexTerm': [{'label': {'@language': 'en', '@value': 'Posterior auricular nerve'}}]}
115159129	Temporal branch of the facial nerve	848343847		8	[]		http://id.who.int/icd/release/11/2025-01/mms/115159129	https://icd.who.int/browse/2025-01/mms/en#115159129	XA1VA9	http://id.who.int/icd/entity/115159129	category		{'@context': 'http://id.who.int/icd/contexts/contextForLinearizationEntity.json', '@id': 'http://id.who.int/icd/release/11/2025-01/mms/115159129', 'parent': ['http://id.who.int/icd/release/11/2025-01/mms/848343847'], 'browserUrl': 'https://icd.who.int/browse/2025-01/mms/en#115159129', 'code': 'XA1VA9', 'source': 'http://id.who.int/icd/entity/115159129', 'classKind': 'category', 'title': {'@language': 'en', '@value': 'Temporal branch of the facial nerve'}, 'indexTerm': [{'label': {'@language': 'en', '@value': 'Temporal branch of the facial nerve'}}]}
680393177	Zygomatic branch of the facial nerve	848343847		8	[]		http://id.who.int/icd/release/11/2025-01/mms/680393177	https://icd.who.int/browse/2025-01/mms/en#680393177	XA7JD7	http://id.who.int/icd/entity/680393177	category		{'@context': 'http://id.who.int/icd/contexts/contextForLinearizationEntity.json', '@id': 'http://id.who.int/icd/release/11/2025-01/mms/680393177', 'parent': ['http://id.who.int/icd/release/11/2025-01/mms/848343847'], 'browserUrl': 'https://icd.who.int/browse/2025-01/mms/en#680393177', 'code': 'XA7JD7', 'source': 'http://id.who.int/icd/entity/680393177', 'classKind': 'category', 'title': {'@language': 'en', '@value': 'Zygomatic branch of the facial nerve'}, 'indexTerm': [{'label': {'@language': 'en', '@value': 'Zygomatic branch of the facial nerve'}}]}
1661210137	Buccal branch of the facial nerve	848343847		8	[]		http://id.who.int/icd/release/11/2025-01/mms/1661210137	https://icd.who.int/browse/2025-01/mms/en#1661210137	XA3A57	http://id.who.int/icd/entity/1661210137	category		{'@context': 'http://id.who.int/icd/contexts/contextForLinearizationEntity.json', '@id': 'http://id.who.int/icd/release/11/2025-01/mms/1661210137', 'parent': ['http://id.who.int/icd/release/11/2025-01/mms/848343847'], 'browserUrl': 'https://icd.who.int/browse/2025-01/mms/en#1661210137', 'code': 'XA3A57', 'source': 'http://id.who.int/icd/entity/1661210137', 'classKind': 'category', 'title': {'@language': 'en', '@value': 'Buccal branch of the facial nerve'}, 'indexTerm': [{'label': {'@language': 'en', '@value': 'Buccal branch of the facial nerve'}}]}
